article_id,ticker,published_at,source_name,author,title,description,content,url,date,publishedAt,sentiment_score,sentiment_label,Date,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
10,AAPL,2026-03-31 20:01:08+00:00,9to5Mac,Chance Miller,Save over 30% on David Pogue’s new ‘Apple: The First 50 years’ book,"Update March 31, 2026: Ahead of Apple’s 50th anniversary tomorrow, David Pogue’s new book is on sale on Amazon for $34.09 (Reg. $50). This is a great way to save on one of the best modern Apple books there is. 



Original post below. 







Apple celebrates…","Update March 31, 2026: Ahead of Apple’s 50th anniversary tomorrow, David Pogue’s new book is on sale on Amazon for $34.09 (Reg. $50). This is a great way to save on one of the best modern Apple books… [+2444 chars]",https://9to5mac.com/2026/03/31/david-pogue-releases-new-apple-the-first-50-years-book/,2026-03-31,2026-03-31 20:01:08+00:00,0.9217,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
11,AAPL,2026-03-31 20:04:28+00:00,Mediaite,Zachary Leeman,DHS Slams ‘Failed Comedian’ Jimmy Kimmel Over Joke About Secretary Mullin’s Plumbing Credentials,"The Department of Homeland Security took a hit at comedian Jimmy Kimmel over a joke aimed at DHS Secretary Markwayne Mullin's plumbing past.
The post DHS Slams ‘Failed Comedian’ Jimmy Kimmel Over Joke About Secretary Mullin’s Plumbing Credentials first appear…","Screenshot via ABC.
The Department of Homeland Security took a jab at comedian Jimmy Kimmel over a joke aimed at DHS Secretary Markwayne Mullin’s plumbing past.
“Secretary Mullin represents the bes… [+2406 chars]",https://www.mediaite.com/politics/dhs-slams-failed-comedian-jimmy-kimmel-over-joke-about-secretary-mullins-plumbing-credentials/,2026-03-31,2026-03-31 20:04:28+00:00,0.7351,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
12,AAPL,2026-03-31 20:05:06+00:00,BleepingComputer,blompkuz,duckduckgo in settings storage shows using 20gigs,"duckduckgo in settings storage shows using 20gigs - posted in Apple iOS: there are not 20gigs of files in downloads.  there are 1 gigs in downloads.
 
what is using 19gigs and how do I collect it back?  without uninstalling and upgrading to a new version?
 
t…","there are not 20gigs of files in downloads.  there are 1 gigs in downloads.
what is using 19gigs and how do I collect it back?  without uninstalling and ""upgrading"" to a new version?
this is iphone… [+9 chars]",https://www.bleepingcomputer.com/forums/t/815201/duckduckgo-in-settings-storage-shows-using-20gigs/,2026-03-31,2026-03-31 20:05:06+00:00,0.0,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
13,AAPL,2026-03-31 20:05:23+00:00,Gizmodo.com,Raymond Wong,The Best Gadgets of March 2026,"It was a very packed month for new Apple products, but we also got some notable new gadgets from Sonos, Nintendo, Asus ROG, and even Ikea.","March madness is over. No, not college basketball. I’m, of course, talking about Apple’s own March bonanza headlined by the $600 MacBook Neo. The low-cost and colorful laptop easily stole the spotlig… [+9044 chars]",https://gizmodo.com/best-gadgets-march-2026-2000740331,2026-03-31,2026-03-31 20:05:23+00:00,-0.128,negative,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
14,AAPL,2026-03-31 20:07:55+00:00,Macworld,Roman Loyola,"Apple employee 50th schwag includes T-shirt, pin, poster, and Paul McCartney","Macworld







Apple’s 50th anniversary is officially on Wednesday, and the company has been holding several events to commemorate the occasion. This week, however, Apple also gave out special anniversary schwag to its employees, according to several posts …","Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Apple’s 50th anniver… [+1694 chars]",https://www.macworld.com/article/3103671/apple-employee-50th-schwag-includes-t-shirt-pin-poster-and-paul-mccartney.html,2026-03-31,2026-03-31 20:07:55+00:00,0.0,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
15,AAPL,2026-03-31 20:08:00+00:00,9to5Toys,Justin Kahn,David Pogue’s new ‘Apple: The First 50 Years’ hardcover book now 32% off at Amazon,"As part of the final day of the Amazon Big Spring Sale, it is now offering David Pogue’s Apple: The First 50 Years Hardcover book down at $34.09 shipped. This has been a popular read among readers and staffers over at 9to5Mac, and now Amazon is offering it wi…","As part of the final day of the Amazon Big Spring Sale, it is now offering David Pogues Apple: The First 50 Years Hardcover book down at $34.09 shipped. This has been a popular read among readers and… [+1358 chars]",http://9to5toys.com/2026/03/31/david-pogue-new-apple-first-50-years-hardcover-book-deal/,2026-03-31,2026-03-31 20:08:00+00:00,0.5423,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
16,AAPL,2026-03-31 20:15:51+00:00,MacRumors,Joe Rossignol,Apple Turns 50 Today: Reflecting on Each Decade's Biggest Moments,"Apple was founded on April 1, 1976, meaning the company is officially 50 years old as of today. To honor the occasion, we have reflected on some of Apple's biggest moments of each decade, from the 1970s through to the 2020s.





Apple has an extensive histor…","Apple was founded on April 1, 1976, meaning the company is officially 50 years old as of today. To honor the occasion, we have reflected on some of Apple's biggest moments of each decade, from the 19… [+4440 chars]",https://www.macrumors.com/2026/04/01/apple-turns-50-today/,2026-03-31,2026-03-31 20:15:51+00:00,0.4939,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
17,AAPL,2026-03-31 20:17:03+00:00,Smashingapps.com,An Jay,Best USB Hub for MacBook in 2026 — 7 Picks for Every Budget,"This guide covers 7 Best USB Hubs for MacBook in 2026 across four price tiers, with honest notes on what each does and does not do well.","Click here to buy secure, speedy, and reliable Web hosting, Cloud hosting, Agency hosting, VPS hosting, Website builder, Business email, Reach email marketing at 20% discount from our Gold Partner Ho… [+10340 chars]",https://www.smashingapps.com/best-usb-hubs-for-macbook-in-2026/,2026-03-31,2026-03-31 20:17:03+00:00,0.3612,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
18,AAPL,2026-03-31 20:21:33+00:00,9to5Mac,Seth Kurkowski,"9to5Mac Daily: March 31, 2026 – iOS 26.5 beta 1 changes, more","Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apple’s Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overcast and other podcast players.



Sponsored by Backblaze: Ba…","Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apples Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overca… [+780 chars]",https://9to5mac.com/2026/03/31/daily-march-31-2026/,2026-03-31,2026-03-31 20:21:33+00:00,0.7351,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
19,AAPL,2026-03-31 20:30:00+00:00,Techdirt,Leigh Beadon,Techdirt Podcast Episode 448: Transaction Denied,"Support us on Patreon » In the conversation about online speech, most of the attention tends to fall on the big social media platforms, while other intermediaries get overlooked — especially payment processors and other financial intermediaries. But that very…","from the oft-overlooked dept
In the conversation about online speech, most of the attention tends to fall on the big social media platforms, while other intermediaries get overlooked especially paym… [+680 chars]",https://www.techdirt.com/2026/03/31/techdirt-podcast-episode-448-transaction-denied/,2026-03-31,2026-03-31 20:30:00+00:00,-0.0258,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
