Date,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
2011-06-27 00:00:00-04:00,1.848667025566101,1.8853329420089722,1.820667028427124,1.8306670188903809,27141000,-0.003989684440438235,1.8330666065216064,1.865428476106553,1.714222234392923,1.6314947075313992,0.029851001693521877
2011-06-28 00:00:00-04:00,1.852666974067688,1.8833329677581787,1.8446669578552246,1.8739999532699585,13338000,0.02367057139962192,1.8407999992370605,1.8608570439474923,1.7151217025423806,1.632611108204675,0.03039761490392786
2011-06-29 00:00:00-04:00,1.899999976158142,1.9393329620361328,1.8713330030441284,1.8860000371932983,21927000,0.006403460097424762,1.8552000045776367,1.8549840507053195,1.7154179962854537,1.6337910010701133,0.03005114745497916
2011-06-30 00:00:00-04:00,1.899999976158142,1.9553329944610596,1.8933329582214355,1.9420000314712524,14200500,0.02969246721823615,1.8741334199905395,1.8569205772309076,1.716809528214591,1.6356878266448067,0.028419356213845667
2011-07-01 00:00:00-04:00,1.937999963760376,1.9733330011367798,1.9199999570846558,1.9346669912338257,12823500,-0.003776024777852993,1.8934668064117433,1.8577460050582886,1.718074083328247,1.6382857116441878,0.02839324263165077
2011-07-05 00:00:00-04:00,1.9346669912338257,1.968000054359436,1.9140000343322754,1.942667007446289,14940000,0.0041350869419451985,1.9158668041229248,1.8546031486420405,1.7194074165253412,1.6417328029397935,0.02631730117839949
2011-07-06 00:00:00-04:00,1.942667007446289,1.942667007446289,1.9033329486846924,1.9306670427322388,13903500,-0.006177056936703118,1.9272002220153808,1.8554285764694214,1.7206190597443354,1.6452142870615398,0.02414579528087096
2011-07-07 00:00:00-04:00,1.942667007446289,2.0,1.934000015258789,1.9819999933242798,19918500,0.02658819436799198,1.9464002132415772,1.859746053105309,1.7221534488693115,1.6484603186448414,0.02460913832405847
2011-07-08 00:00:00-04:00,1.9926669597625732,1.9926669597625732,1.906000018119812,1.920667052268982,18609000,-0.030944975409625597,1.942133617401123,1.8651111523310344,1.7226455126489912,1.6514788388259827,0.02350973732184333
2011-07-11 00:00:00-04:00,1.8933329582214355,1.9019999504089355,1.8666670322418213,1.8899999856948853,14637000,-0.015966883243958452,1.933200216293335,1.8674286263329642,1.7227037113810342,1.6544682553836279,0.023589436981093146
2011-07-12 00:00:00-04:00,1.891332983970642,1.9393329620361328,1.8666670322418213,1.878000020980835,15681000,-0.006349187727447747,1.920266819000244,1.8684127728144329,1.7225555607250758,1.6571216961694142,0.023588756057255147
2011-07-13 00:00:00-04:00,1.8953330516815186,1.935333013534546,1.8600000143051147,1.9093329906463623,15990000,0.016684222212714817,1.9160000085830688,1.8690794365746635,1.7234444495231387,1.6594497358042097,0.023445310163694055
2011-07-14 00:00:00-04:00,1.9019999504089355,1.9306670427322388,1.8166669607162476,1.8406670093536377,17385000,-0.03596333464571799,1.8877334117889404,1.8659365801584153,1.7237883702157035,1.6614920653048015,0.024717123097939577
2011-07-15 00:00:00-04:00,1.852666974067688,1.8553329706192017,1.8266669511795044,1.8386670351028442,10635000,-0.0010865486481966835,1.871333408355713,1.8667620079857963,1.7245079496550182,1.663328045417392,0.022635286430130654
2011-07-18 00:00:00-04:00,1.8226670026779175,1.8300000429153442,1.775333046913147,1.8153330087661743,12778500,-0.012690729692320102,1.8564000129699707,1.8690794365746635,1.725291012771546,1.6647354501580436,0.021758926116500293
2011-07-19 00:00:00-04:00,1.8386670351028442,1.8739999532699585,1.8359999656677246,1.8593330383300781,15391500,0.02423799344331279,1.8526666164398193,1.8734921046665736,1.7264814897189065,1.6667433868324946,0.02231024095526611
2011-07-20 00:00:00-04:00,1.8666670322418213,2.0293331146240234,1.8533329963684082,1.9126670360565186,45724500,0.02868447805044183,1.8533334255218505,1.8820000603085472,1.728947101131318,1.6689841288422782,0.022447417449885987
2011-07-21 00:00:00-04:00,1.9273329973220825,1.944000005722046,1.8733329772949219,1.9133330583572388,15172500,0.0003482165417005856,1.8678666353225708,1.8857143492925734,1.732164030037229,1.6710211648827507,0.01880625917870052
2011-07-22 00:00:00-04:00,1.9133330583572388,1.9693330526351929,1.9033329486846924,1.952666997909546,8752500,0.020557811082864363,1.890666627883911,1.892317539169675,1.7354709108670552,1.6731375697113218,0.01893829011256334
2011-07-25 00:00:00-04:00,1.934000015258789,1.9500000476837158,1.8960000276565552,1.8993330001831055,10099500,-0.02731341175097335,1.9074666261672975,1.8947937318256922,1.7375873081267825,1.6751322760468437,0.019772268325217078
2011-07-26 00:00:00-04:00,1.8873330354690552,1.9179999828338623,1.8646670579910278,1.8666670322418213,11409000,-0.01719865233644391,1.908933424949646,1.8961588257835025,1.7393439270201183,1.6771031769495162,0.02014790149941992
2011-07-27 00:00:00-04:00,1.899999976158142,1.899999976158142,1.8339999914169312,1.8426669836044312,14377500,-0.012857166394890873,1.8949334144592285,1.8967302526746477,1.7408730302538191,1.6789338673864092,0.020348108620811135
2011-07-28 00:00:00-04:00,1.840000033378601,1.9033329486846924,1.8359999656677246,1.878000020980835,14080500,0.019174944626884738,1.8878668069839477,1.8969207320894514,1.742592610064007,1.6810026490499104,0.020114550321526994
2011-07-29 00:00:00-04:00,1.8533329963684082,1.8933329582214355,1.8333330154418945,1.878000020980835,14223000,0.0,1.8729334115982055,1.8965397789364768,1.7447936657875303,1.6831798993405842,0.02006578738777349
2011-08-01 00:00:00-04:00,1.9113329648971558,1.9320000410079956,1.880666971206665,1.9179999828338623,17473500,0.02129923397558664,1.8766668081283568,1.8953969194775535,1.747264562145112,1.6852566174098425,0.01952075861226845
2011-08-02 00:00:00-04:00,1.9126670360565186,1.946666955947876,1.8179999589920044,1.8226670026779175,23241000,-0.04970436966067615,1.8678668022155762,1.890063586689177,1.7490793797704909,1.6866825459495423,0.022292756987927223
2011-08-03 00:00:00-04:00,1.8333330154418945,1.8553329706192017,1.75600004196167,1.8133330345153809,26917500,-0.005121049620596008,1.862000012397766,1.8839048260734195,1.7508042454719543,1.6882539746307192,0.022244443997213592
2011-08-04 00:00:00-04:00,1.7673330307006836,1.792667031288147,1.6446670293807983,1.649999976158142,45967500,-0.09007339261366853,1.8164000034332275,1.8705397276651292,1.7513968405269442,1.6893915420486814,0.029262978569583247
