model,accuracy,precision,recall,f1
Dummy Baseline,0.6,0.6,1.0,0.7499999999999999
Gradient Boosting,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765
Logistic Regression,0.5333333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435
Random Forest,0.5333333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666
