model,mae,rmse,r2
Ridge Regression,0.011913847575578526,0.01628367213764072,0.6219169273896892
Random Forest,0.021670197008407485,0.028562602042741397,-0.16326342310021458
Linear Regression,0.030330891404360905,0.056348090113295383,-3.5273173233041977
