ticker,date,sentiment_score_mean,sentiment_score_median,sentiment_score_std,article_count,positive_count,neutral_count,negative_count
AAPL,2026-03-31,0.1656642857142857,0.0772,0.41488530752734765,98,52,26,20
AAPL,2026-04-18,0.2056011235955056,0.3182,0.389560013609288,89,50,20,19
AAPL,2026-04-19,0.07840000000000001,0.10115,0.31185588338205195,6,3,2,1
AMZN,2026-03-31,0.386846,0.42115,0.4385161642944017,100,76,13,11
AMZN,2026-04-18,0.42450000000000004,0.59345,0.4937553035361897,88,66,7,15
AMZN,2026-04-19,0.5243909090909091,0.5267,0.31937741765674493,11,10,1,0
AVGO,2026-03-22,0.135575,0.0,0.27115,4,1,3,0
AVGO,2026-03-23,0.3518125,0.38155,0.2425826953992037,8,6,2,0
AVGO,2026-03-24,0.1754125,0.0649,0.4486424097578531,16,8,3,5
AVGO,2026-03-25,0.27492,0.3389,0.3768980433898684,10,8,1,1
AVGO,2026-03-26,0.15602631578947368,0.0387,0.36208336032543864,19,9,6,4
AVGO,2026-03-27,0.40916363636363634,0.4215,0.24842092614241365,11,10,1,0
AVGO,2026-03-28,0.5473333333333333,0.5423,0.008717989064763367,3,3,0,0
AVGO,2026-03-29,0.5423,0.5423,0.0,1,1,0,0
AVGO,2026-03-30,0.3351375,0.3452,0.3310396607119542,8,5,3,0
AVGO,2026-03-31,0.14155555555555555,0.0,0.22393525912142057,9,4,5,0
BRK-B,2026-03-22,0.8122,0.8122,0.0,1,1,0,0
BRK-B,2026-03-23,0.2822818181818182,0.2263,0.4427676045470848,11,7,2,2
BRK-B,2026-03-24,0.38956,0.4767,0.34809011476914997,5,4,0,1
BRK-B,2026-03-25,0.3612,0.3612,0.0,1,1,0,0
BRK-B,2026-03-26,0.0,0.0,0.0,2,0,2,0
BRK-B,2026-03-27,0.28665,0.28665,0.4783577374726994,2,1,0,1
BRK-B,2026-03-28,0.27115,0.27115,0.3834640074374647,2,1,1,0
BRK-B,2026-03-29,0.47645000000000004,0.47645000000000004,0.387706648124584,2,2,0,0
BRK-B,2026-03-30,0.4672,0.49135,0.1653897417213857,4,4,0,0
BRK-B,2026-03-31,0.21791176470588236,0.0772,0.46921150199344136,17,9,6,2
BRK-B,2026-04-01,0.353775,0.3723,0.3076566416748819,4,3,1,0
BRK-B,2026-04-02,0.363175,0.4404,0.24992639416436194,4,3,1,0
BRK-B,2026-04-03,0.11608,0.0,0.37648913264528633,5,2,1,2
BRK-B,2026-04-04,0.3575333333333333,0.3843,0.45377369102523635,6,5,0,1
BRK-B,2026-04-05,-0.3511333333333333,-0.5267,0.30409038678217587,3,0,1,2
BRK-B,2026-04-06,-0.15185555555555552,-0.0516,0.31546764537393973,9,1,3,5
BRK-B,2026-04-07,0.2557,0.2732,0.24741461153294889,3,2,1,0
BRK-B,2026-04-08,0.2112,0.0,0.6390395371180096,7,3,3,1
BRK-B,2026-04-09,0.09138749999999998,0.0,0.34502563232937594,8,3,3,2
